id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38657051,Duplex with Terrace in Arenal. Padre Marchena V,184049152,Silvia,Casco Antiguo,Arenal,37.38682,-5.99623,Entire home/apt,251,1,78,2025-02-19,1.17,60,199,18,VUT/SE/06675
38662896,Amplio apartamento en el barrio de la Alfalfa,3451296,Boutike,Casco Antiguo,Alfalfa,37.39189,-5.99291,Entire home/apt,218,1,98,2025-01-18,1.96,30,37,14,VFT/SE/06398
38686169,Alohamundi Castilla II,118796113,Maria Eugenia,Triana,Triana Casco Antiguo,37.38889,-6.00591,Entire home/apt,111,2,188,2025-03-15,2.81,37,0,32,VFT/SE/06527
38695405,Hispalis Puerta Carmona,105842350,Hispalis Home,Nervión,an Roque,37.38938,-5.9842,Entire home/apt,158,1,9,2023-09-22,0.13,41,88,0,ctc2019167334
38700384,Los Milanos apart. Junto palacio congreso Fibes,295872496,Carmen,Este - Alcosa - Torreblanca,"Palacio Congresos, Urbadiez, Entrepuentes, Jardines del Eden",37.40396,-5.9427,Entire home/apt,79,1,138,2025-03-16,2.06,1,222,36,VFT/SE/06264
38719492,Vanguard Minimalism with high qualities 1 BR,51048225,Sevilla,Casco Antiguo,Santa Catalina,37.39404,-5.98632,Entire home/apt,97,1,105,2025-03-24,1.57,94,207,64,CTC-2019157735
38722274,Luxurious Duplex 200m² Terrace Parkg StayinSeville,15589434,Richard,Triana,Triana Casco Antiguo,37.38471603393555,-6.003611087799072,Entire home/apt,255,2,128,2025-03-16,1.92,3,133,25,CTC-2019167779
38739270,Duplex con terrazas privadas junto a la catedral,14958822,Nacho,Casco Antiguo,Alfalfa,37.38839,-5.99145,Entire home/apt,215,2,253,2025-03-14,3.77,192,79,39,VFT/SE/06328
38739293,Apartamento a un paso de la catedral- Free Parking,14958822,Nacho,Casco Antiguo,Alfalfa,37.38839,-5.99145,Entire home/apt,136,2,151,2025-03-15,2.25,192,55,8,VFT/SE/06325
38767256,Modern & attractive- 2Bd 2Bth- centric,296470557,Frumkin,Casco Antiguo,San Julián,37.39623,-5.98699,Entire home/apt,149,1,31,2025-01-12,0.47,1,294,3,VFT/SE/02497
38828870,VR Excellent Location Bright apartment ideal for couples,297274189,Alfonso,Casco Antiguo,"Encarnación, Regina",37.39361,-5.9945,Entire home/apt,90,2,59,2024-11-17,0.88,1,194,9,CTC-2019168847
38840822,Cozy apartment in the city center. Francos VII,92573910,Esther,Casco Antiguo,Santa Cruz,37.38823,-5.99316,Entire home/apt,124,1,43,2024-04-25,0.86,40,155,2,VUT/SE/06075
38861066,Precioso moderno estudio centro historico. WiFi/AC,180647305,Jesus,Casco Antiguo,San Lorenzo,37.39902,-5.99925,Entire home/apt,60,3,138,2025-03-03,2.07,8,39,36,VUT/SE/04498
38862210,Cosy apartment barrio Santa Cruz bueno piscina,243308448,Fabio,Casco Antiguo,Alfalfa,37.38993,-5.98921,Entire home/apt,91,3,115,2025-01-07,1.72,36,64,20,CTC-2019163672
38874120,Belle Pop,56238877,Alberto,Casco Antiguo,"Encarnación, Regina",37.39489,-5.99044,Entire home/apt,78,2,292,2025-03-07,4.37,15,46,51,VUT/SE/06347
38900518,Habitación en apartamento completamente nuevo.,125354363,Alejandro,San Pablo - Santa Justa,Las Huertas,37.39709,-5.96889,Private room,50,1,71,2025-03-17,1.07,2,339,17,Exempt
38913948,Wide apartment - 5 balconies - Metropol Parasol,298036139,Juan,Casco Antiguo,"Encarnación, Regina",37.39281,-5.99183,Entire home/apt,130,1,23,2025-01-04,0.35,2,310,4,VFT/SE/06271
38924227,Bonito apartamento en el centro histórico,298115017,Concha,Casco Antiguo,San Bartolomé,37.3888,-5.98652,Entire home/apt,65,2,183,2025-03-12,2.75,1,98,58,VFT/SE/00336
38966912,Duplex Jesús Gran Poder 4. Plaza de la Gavidia,298513132,Jose Antonio,Casco Antiguo,"Encarnación, Regina",37.39485,-5.99671,Entire home/apt,125,2,53,2025-03-23,0.80,1,140,13,CTC-2019167550
38978156,SEVILLA CENTRE **San Lorenzo Ivy**,298614924,Antonio,Casco Antiguo,San Vicente,37.39717,-5.99851,Entire home/apt,121,3,204,2025-03-15,3.07,1,50,46,VUT/SE/03445
38986728,Loft 4 plazas nuevo en el centro junto a Ave,35659996,Antonio F,San Pablo - Santa Justa,San José Obrero,37.39475,-5.9799,Entire home/apt,76,2,282,2025-03-21,4.22,5,10,68,VFT/SE/06422
